Nr.,Kapitel,Deutsch,Suaheli
1,C2.3-Vok-A,Auge,Jicho
2,C2.3-Vok-A,Ei,Yai
3,C2.3-Vok-A,Auto,Gari
4,C2.3-Vok-A,Frucht,Tunda
5,C2.3-Vok-A,Orange (Frucht),Chungwa
1,C2.3-Vok-B,Straße,Barabara
2,C2.3-Vok-B,Tisch,Meza
3,C2.3-Vok-B,Alkohol,Pombe
4,C2.3-Vok-B,Gemüse,Mboga
1,C2.3-Vok-C,Lang,-refu ; ndefu
2,C2.3-Vok-C,Teuer,Ghali
3,C2.3-Vok-C,Alt;Abgenutzt,Kikuukuu
4,C2.3-Vok-C,In Ordnung,Sawa
1,C2.3-Vok-D,Sehen,Kuona
2,C2.3-Vok-D,Spielen,Kucheza
3,C2.3-Vok-D,Auf ; Bei,Kwenye
4,C2.3-Vok-D,Dort (Richtung),Kule
5,C2.3-Vok-D,Stühle (Plural zu Kiti),Viti
1,C2.3-1a,Ein Auge.,Jicho.
2,C2.3-1a,Augen.,Macho.
3,C2.3-1a,Wasser.,Maji.
4,C2.3-1a,Eier.,Mayai.
1,C2.3-1b,Ein großes Auge.,Jicho kubwa.
2,C2.3-1b,Große Augen.,Macho makubwa.
3,C2.3-1b,Eine große Orange.,Chungwa kubwa.
4,C2.3-1b,Große Orangen.,Machungwa makubwa.
5,C2.3-1b,Ein kleines Ei.,Yai dogo.
6,C2.3-1b,Kleine Eier.,Mayai madogo.
1,C2.3-1c,Das Wasser ist kalt.,Maji ni baridi.
2,C2.3-1c,Das Ei ist gut.,Yai ni zuri.
3,C2.3-1c,Die Augen sind schön.,Macho ni mazuri.
4,C2.3-1c,Das Essen ist heiß.,Chakula ni moto.
1,C2.3-2,Die Straße ist lang.,Barabara ni ndefu.
2,C2.3-2,Die Straßen sind lang.,Barabara ni ndefu.
3,C2.3-2,Der Tisch ist klein.,Meza ni ndogo.
4,C2.3-2,Die Tische sind klein.,Meza ni ndogo.
5,C2.3-2,Die Kaffeebohnen sind teuer.,Kahawa ni ghali.
6,C2.3-2,Dein Haus ist alt.,Nyumba yako ni zamani.
1,C2.3-3a,Das Wasser ist hier.,Maji yapo hapa.
2,C2.3-3a,Die Eier sind dort.,Mayai yapo pale.
3,C2.3-3a,Wo ist das Ei?,Yai lipo wapi.
4,C2.3-3a,Das Auto ist hier.,Gari lipo hapa.
1,C2.3-3b,Die Autos sind dort.,Magari yapo pale.
2,C2.3-3b,Sie sind nicht hier; sie sind draußen.,Hawapo hapa; wapo nje.
3,C2.3-3b,Wir wollen dorthin gehen.,Tunataka kwenda kule.
1,C2.3-4a,Wir essen Eier.,Tunakula mayai.
2,C2.3-4a,Wir essen Gemüse.,Tunakula mboga.
3,C2.3-4a,Er will Wasser trinken.,Anataka kunywa maji.
4,C2.3-4a,Sie sehen meine Augen.,Wanaona macho yangu.
