Nr.,Kapitel,Deutsch,Suaheli
1,C4.2-0a,Arbeiten lassen / Machen lassen,Kufanyisha
2,C4.2-0a,Warten lassen,Kusubirisha
3,C4.2-0a,Verstehen lassen / Erklären,Kufahamisha
4,C4.2-0a,Zeigen (Sehen lassen),Kuonyesha
5,C4.2-0a,Spielen lassen,Kuchezesha
6,C4.2-0a,Fahren lassen / Antreiben,Kuendesha
7,C4.2-0a,Müde machen,Kuchokesha
8,C4.2-0a,Trinken lassen / Tränken,Kunywesha
9,C4.2-0a,Schlafen lassen,Kulalisha
10,C4.2-0a,Geschlagen werden,Kupigwa
11,C4.2-0a,Gerufen werden,Kuitwa
12,C4.2-0a,Geliebt werden,Kupendwa
13,C4.2-0a,Gekocht werden,Kupikwa
14,C4.2-0a,Gereinigt werden,Kusafishwa
15,C4.2-0a,Gesagt werden,Kusemwa
16,C4.2-0a,Gefunden werden,Kupatikana
17,C4.2-0a,Unterrichtet werden,Kufundishwa
18,C4.2-0a,Erlaubt werden,Kuruhusiwa
19,C4.2-0a,Beendet werden,Kumalizwa
1,C4.2-0b,Warum?,Kwa nini?
2,C4.2-0b,Muss / Notwendigkeit,Lazima
3,C4.2-0b,Nachdem / Nach,Baada ya
4,C4.2-0b,Wie man / Art und Weise,Jinsi ya
5,C4.2-0b,Bringen,Kuleta
6,C4.2-0b,Lassen / Verlassen,Kuacha
7,C4.2-0b,Tür,Mlango
1,C4.2-1a,Er ließ mich arbeiten.,Alinifanyisha kazi.
2,C4.2-1a,Wir arbeiteten die ganze Nacht.,Tulifanya kazi usiku kucha.
3,C4.2-1a,Du wirst ihn verstehen lassen.,Utamfahamisha.
4,C4.2-1a,Sie werden uns helfen lassen.,Watatusaidisha.
1,C4.2-1b,Ich habe ihn sehen lassen/gezeigt.,Nimemwonyesha.
2,C4.2-1b,Wir haben die Kinder spielen lassen.,Tumewachezesha watoto.
3,C4.2-1b,Ich habe sie noch nicht essen lassen.,Sijawalisha.
1,C4.2-2a,Ich zeige dir mein Haus.,Ninakuonyesha nyumba yangu.
2,C4.2-2a,Der Lehrer ließ die Kinder gehen.,Mwalimu aliwaacha watoto waende.
3,C4.2-2a,Sie brachten die Eier.,Walileta mayai.
4,C4.2-2a,Wir werden dich schnell gehen lassen.,Tutakuendesha haraka.
5,C4.2-2a,Er hat mich müde gemacht.,Amenichokesha.
1,C4.2-2b,Er zeigte mir die Augen.,Alinionyesha macho.
2,C4.2-2b,Sie ließen ihn trinken.,Walimnywesha.
3,C4.2-2b,Ich will meine Schwester warten lassen.,Ninataka kumsubirisha dada yangu.
4,C4.2-2b,Warum hast du ihn gehen lassen?,Kwa nini umemwacha aende?
5,C4.2-2b,Ich musste ihn gehen lassen.,Ilinibidi nimwache aende.
1,C4.2-3,Die Arbeit wurde gemacht.,Kazi ilifanywa.
2,C4.2-3,Die Tür wurde geschlossen.,Mlango ulifungwa.
3,C4.2-3,Das Wasser wird getrunken.,Maji yanakunywewa.
4,C4.2-3,Die Eier sind gegessen worden.,Mayai yamekuliwa.
5,C4.2-3,Die Tische wurden noch nicht gesehen.,Meza hazijaonwa.
1,C4.2-4,Ich wurde gestern geschlagen.,Nilipigwa jana.
2,C4.2-4,Der Mann wurde gerufen.,Mwanamume aliitwa.
3,C4.2-4,Das Auto wird verkauft werden.,Gari litauzwa.
