Nr.,Kapitel,Deutsch,Suaheli
1,C5.1-Vok,der/die/das (Relativ-Helfer),Amba-
2,C5.1-Vok,Es ist notwendig / Man muss,Inabidi
3,C5.1-Vok,Reparieren,Kurekebisha
4,C5.1-Vok,Sich ausruhen,Kupumzika
5,C5.1-Vok,Wichtig,Muhimu
6,C5.1-Vok,Wahrheit / Wahr,Kweli
7,C5.1-Vok,Schmerzen / Verletzen,Kuumiza
8,C5.1-Vok,Stark / Fest,Imara
9,C5.1-Vok,Bevor / Vor,Kabla ya
10,C5.1-Vok,Glück / Freude,Furaha
11,C5.1-Vok,Banane,Ndizi
1,C5.1-1a,Der Mann; der arbeitet; ist müde.,Mwanamume anayefanya kazi amechoka.
2,C5.1-1a,Die Frau; die arbeitet; ist müde.,Mwanamke anayefanya kazi amechoka.
3,C5.1-1a,Das Brot; das ich esse; ist neu.,Mkate ninaokula ni mpya.
4,C5.1-1a,Die Bananen; die ich esse; sind reif.,Ndizi ninazokula ni mbivu.
1,C5.1-1b,Das Auto; das er kaufte; ist schnell.,Gari alilonunua ni haraka.
2,C5.1-1b,Die Eier; die wir aßen; waren gut.,Mayai tuliyokula yalikuwa mazuri.
3,C5.1-1b,Die Tische; die wir kaufen werden; sind groß.,Meza tutakazonunua ni kubwa.
4,C5.1-1b,Das Wasser; das du getrunken hast; war kalt.,Maji uliyokunywa yalikuwa baridi.
1,C5.1-2a,Das sind die Häuser; die wir sehen.,Hizi ni nyumba tunazoona.
2,C5.1-2a,Die Leute; die hier sind; sind hungrig.,Watu ambao wapo hapa wana njaa.
3,C5.1-2a,Der Lehrer; der nicht arbeitet; redet.,Mwalimu asiyefanya kazi anaongea.
4,C5.1-2a,Die Arbeit; die gemacht wurde; war schwer.,Kazi iliyofanywa ilikuwa ngumu.
1,C5.1-2b,Das Brot; das gekauft wird; ist teuer.,Mkate unaonunuliwa ni ghali.
2,C5.1-2b,Er ist der Mann; der uns das zeigte.,Yeye ni mwanamume aliyetuonyesha hili.
3,C5.1-2b,Ich sehe die fünf Eier; die auf dem Tisch sind.,Ninaona mayai matano ambayo yapo juu ya meza.
4,C5.1-2b,Wir werden das Wasser trinken; das wir brauchen.,Tutakunywa maji tunayohitaji.
1,C5.1-3a,Lass uns arbeiten.,Tufanye kazi.
2,C5.1-3a,Er geht; damit er esse.,Anakwenda; ale.
3,C5.1-3a,Du musst das tun.,Inabidi ufanye hilo.
4,C5.1-3a,Sie sollen warten.,Wasubiri.
1,C5.1-3b,Ich will; dass ich das verstehe.,Ninataka nifahamu.
2,C5.1-3b,Geht ihr und helft.,Mkaende na msaidie.
3,C5.1-3b,Er soll nicht gehen.,Asiende.
4,C5.1-3b,Wir sollen nicht reden.,Tusizungumze.
1,C5.1-4,Ich will; dass du mir das zeigst.,Ninataka unionyeshe hili.
2,C5.1-4,Er muss Brot kaufen; damit wir essen können.,Inabidi anunue mkate; tule.
3,C5.1-4,Lass uns unser Auto verkaufen.,Tuiuze gari yetu.
4,C5.1-4,Wir brauchen; dass das Problem gelöst wird.,Tunahitaji tatizo litatuliwe.
5,C5.1-4,Sollen sie uns das Geld geben?,Watoe pesa?
6,C5.1-4,Wir gehen in den Laden; um zwei Tische zu kaufen.,Tunakwenda dukani; tununue meza mbili.
1,C5.1-5a,Der Mann; der uns das zeigt; soll warten.,Mwanamume anayetuonyesha asubiri.
2,C5.1-5a,Die Frau; die uns das zeigt; soll warten.,Mwanamke anayetuonyesha asubiri.
3,C5.1-5a,Lass uns das Brot essen; das wir gestern kauften.,Tule mkate tulionunua jana.
4,C5.1-5a,Die Arbeit; die gemacht wird; ist schwer.,Kazi inayofanywa ni ngumu.
5,C5.1-5a,Ich will; dass du mir die Autos zeigst; die du gekauft hast.,Ninataka unionyeshe magari uliyonunua.
1,C5.1-5b,Der Mann; der krank wurde; soll sich ausruhen.,Mwanamume aliyeugua apumzike.
2,C5.1-5b,Zeig mir die Zahlen; die ich sehen muss.,Nionyeshe namba ninazoziona.
3,C5.1-5b,Es wurde gesagt; dass wir die fünf Tische verkaufen sollen.,Ilisemwa kwamba tuuze meza tano.
1,C5.1-6a,Ich will nicht; dass du das tust; was ich nicht will.,Sitaki ufanye nisichotaka.
2,C5.1-6a,Die Wahrheit soll gesagt werden.,Kweli isemwe.
3,C5.1-6a,Du sollst die Eier essen; die der Mann brachte.,Ule mayai aliyoleta mwanamume.
4,C5.1-6a,Das; was wir haben; reicht nicht aus.,Kitu tulicho nacho hakitoshi.
1,C5.1-6b,Lass uns gehen und das Auto reparieren.,Twende tukalirekebishe gari.
2,C5.1-6b,Das Haus; in dem ich war; war groß.,Nyumba niliyokuwa ndani ilikuwa kubwa.
3,C5.1-6b,Es ist wichtig; dass wir das Wasser trinken; das wir bekommen.,Ni muhimu tunywe maji tunayopata.
1,C5.1-7a,Er muss mich schnell gehen lassen.,Inabidi anifanyishe haraka.
2,C5.1-7a,Wir haben das gesehen; was gemacht werden soll.,Tumeona kifanyike.
3,C5.1-7a,Die Person; der ich Geld gab; ist glücklich.,Mtu niliyempa pesa ni furaha.
4,C5.1-7a,Ich will; dass du mir die Zahlen zeigst.,Ninataka unionyeshe namba.
1,C5.1-7b,Lass uns die Arbeit beenden; die wir gestern nicht beendet haben.,Tumalize kazi hatukufanya jana.
2,C5.1-7b,Er ist derjenige; der das Auto fahren wird.,Yeye ni yule atakayeendesha gari.
3,C5.1-7b,Wir sind hier; damit die Eier gekocht werden.,Tupo hapa mayai yapikwe.
4,C5.1-7b,Derjenige; der gestern kam; ist krank.,Yule aliyekuja jana ni mgonjwa.
1,C5.1-8a,Sollen wir das kaufen; was er uns gezeigt hat?,Tununue alichotuonyesha?
2,C5.1-8a,Lass uns die fünf Männer rufen.,Tuwaite wanaume watano.
3,C5.1-8a,Es ist wichtig; dass dieses kleine Problem gelöst wird.,Ni muhimu shida ndogo itatuliwe.
4,C5.1-8a,Ich werde das sehen; was er kaufen wird.,Nitaona atakachonunua.
5,C5.1-8a,Die Wahrheit; die gesagt werden muss; ist schwer.,Ukweli unaotakiwa kusemwa ni mgumu
1,C5.1-8b,Wir werden die Tische sehen; die von ihnen gemacht wurden.,Tutaona meza zilizofanywa na wao.
2,C5.1-8b,Er will; dass ich ihm das Auto zeige.,Anataka nimwonyeshe gari.
3,C5.1-8b,Die Autos; die wir haben; sind zehn.,Magari tuliyonayo ni kumi.
4,C5.1-8b,Ich muss gehen; bevor es gemacht wird.,Lazima niende kabla ya kufanywa.
5,C5.1-8b,Sie sollen die großen Eier kochen.,Wapike mayai makubwa.
1,C5.1-9a,Das ist der Mann; der uns warten ließ.,Huyu ni mwanamume aliyetusubirisha.
2,C5.1-9a,Lass uns das machen; was getan werden muss.,Tufanye kile cha kufanywa
3,C5.1-9a,Er sagte; dass wir fünf kaufen sollen.,Alisema kwamba tununue tano.
4,C5.1-9a,Ich will die Arbeit; die noch nicht fertig ist; beenden.,Ninataka kumaliza kazi ambayo haijaisha.
5,C5.1-9a,Die Frau; die uns half; ist stark.,Mwanamke aliyetusaidia ni imara.
1,C5.1-9b,Der Laden; in dem ich kaufte; ist geschlossen.,Duka nilimonunua limefungwa.
2,C5.1-9b,Lass uns gehen; damit wir das Wasser trinken.,Twende tukanywe maji.
3,C5.1-9b,Das; was er gestern machte; war sehr gut.,Kitu alichokifanya jana kilikuwa kizuri sana.
4,C5.1-9b,Die Wahrheit soll gesagt werden; auch wenn sie schmerzt.,Kweli isemwe; hata kama inaumiza.
5,C5.1-9b,Der Mann; der arbeiten soll; hat uns das gezeigt.,Mwanamume afanye kazi ametuonyesha.
1,C5.1-10a,Die Tische sind verkauft worden.,Meza zimeuzwa.
2,C5.1-10a,Er hat mich noch nicht warten lassen.,Hajanisubirisha.
3,C5.1-10a,Ich zeige dir die Autos.,Ninakuonyesha magari.
4,C5.1-10a,Die Arbeit wird morgen gemacht werden.,Kazi itafanywa kesho.
1,C5.1-10b,Das Auto ist noch nicht angekommen.,Gari halijafika.
2,C5.1-10b,Wir sind müde geworden.,Tumechoka.
3,C5.1-10b,Das Essen wurde von ihm gekocht.,Chakula kilipikwa na yeye.
4,C5.1-10b,Wir ließen sie das Wasser trinken.,Tuliwanywesha maji.
1,C5.1-11a,Ich brauche sieben Eier.,Ninahitaji mayai saba.
2,C5.1-11a,Die großen Tische waren hier.,Meza kubwa zilikuwapo hapa.
3,C5.1-11a,Wir haben viel Arbeit.,Tuna kazi nyingi.
4,C5.1-11a,Das ist das Haus unseres Lehrers.,Hii ni nyumba ya mwalimu wetu.
1,C5.1-11b,Er kaufte neun Brote.,Alinunua mikate tisa.
2,C5.1-11b,Die Bäume sind groß.,Miti ni mikubwa.
3,C5.1-11b,Wir haben kein Geld.,Hatuna pesa.
4,C5.1-11b,Das Auto wird morgen fahren.,Gari litakwenda kesho.
1,C5.1-12,Wenn du das tust; werden sie dich nicht sehen.,Ukifanya hili; hawatakuona.
2,C5.1-12,Wir gingen zur Schule; um zu lernen.,Tulikwenda shuleni tujifunze.
3,C5.1-12,Das war das Haus; das wir gestern sahen.,Hiyo ilikuwa nyumba tuliyoiona jana.
4,C5.1-12,Lass uns gehen und das kaufen; was nötig ist.,Twende tukanunue kinachohitajika.
