Nr.,Kapitel,Deutsch,Suaheli
1,C5.2-Vok-A,Wenn / Falls (Realistisch),-ki-
2,C5.2-Vok-A,Würde (Hypothetisch),-nge-
3,C5.2-Vok-A,Wenn nicht (Negativ),-sipo-
4,C5.2-Vok-A,Außer / Es sei denn,Isipokuwa
1,C5.2-Vok-B,Fallen / Herunterfallen,Kudondoka
2,C5.2-Vok-B,Brechen / Zerbrechen,Kuvunjika
3,C5.2-Vok-B,Sauer / Wütend werden,Kukasirika
4,C5.2-Vok-B,Satt werden,Kushiba
5,C5.2-Vok-B,Zahlen / Bezahlen,Kulipa
6,C5.2-Vok-B,Informieren / Wissen lassen,Kujulisha
7,C5.2-Vok-B,Fließen,Kutiririka
8,C5.2-Vok-B,Frei,Huru
1,C5.2-1a,Wenn ich sehe; werde ich wissen.,Nikiona; nitajua.
2,C5.2-1a,Wenn du arbeitest; wirst du müde.,Ukifanya kazi; unachoka.
3,C5.2-1a,Wenn er kauft; hat er.,Akinunua; ana.
4,C5.2-1a,Wenn wir gehen; werden wir ankommen.,Tukikwenda; tutafika.
5,C5.2-1a,Wenn ihr helft; wird die Arbeit einfacher.,Mkiisaidia; kazi itakuwa rahisi.
6,C5.2-1a,Wenn sie kochen; werden wir essen.,Wakipika; tutakula.
1,C5.2-1b,Wenn das Auto fährt; ist es schnell.,Likikwenda; lina haraka.
2,C5.2-1b,Wenn die Eier fallen; brechen sie.,Yakidondoka; yanavunjika.
3,C5.2-1b,Wenn ich nicht gehe; bleibe ich hier.,Nisipokwenda; ninakaa hapa.
4,C5.2-1b,Wenn er nicht redet; weiß ich nicht.,Asipoongea; sijui.
1,C5.2-2a,Wenn du mich warten lässt; werde ich sauer.,Ukinisubirisha; nitakasirika.
2,C5.2-2a,Wenn es (Brot) gegessen wird; ist es weg.,Ukiliwa; utaisha.
3,C5.2-2a,Wenn er morgen kommt; werde ich ihm zeigen.,Akija kesho; nitamwonyesha.
4,C5.2-2a,Wenn die Straße lang ist; dauert es.,Barabara ikiwa ndefu; inachukua muda.
1,C5.2-3a,Arbeite!,Fanya!
2,C5.2-3a,Arbeitet!,Fanyeni!
3,C5.2-3a,Komm her!,Njoo!
4,C5.2-3a,Kommt her!,Njooni!
5,C5.2-3a,Kaufe nicht!,Usinunue!
6,C5.2-3a,Kauft nicht!,Msinunue!
1,C5.2-3b,Zeig es mir!,Nionyeshe!
2,C5.2-3b,Zeigt es ihm!,Mwonyesheni!
3,C5.2-3b,Lass ihn arbeiten!,Mfanyishe kazi!
4,C5.2-3b,Lasst sie warten!,Wasubirisheni!
1,C5.2-4a,Iss das Brot!,Kula mkate!
2,C5.2-4a,Esst die Eier!,Kuleni mayai!
3,C5.2-4a,Geh in den Laden!,Nenda dukani!
4,C5.2-4a,Geht ins Haus!,Endeni nyumbani!
1,C5.2-5a,Geh und wenn du ihn siehst; rede!,Nenda na ukimwona; ongea!
2,C5.2-5a,Wenn er kommt; sollen wir gehen.,Akija; twende.
3,C5.2-5a,Zeig mir das Brot; das du gekauft hast!,Nionyeshe mkate ulionunua!
4,C5.2-5a,Wenn du müde bist (geworden); hör auf zu arbeiten.,Umechoka; acha kufanya kazi.
5,C5.2-5a,Wenn du angekommen bist; rufe uns an.,Ukifika; tupigie simu.
1,C5.2-5b,Wenn das Problem gelöst wird; wird es einfach sein.,Likitatuliwa; litakuwa rahisi.
2,C5.2-5b,Wenn du mich warten lässt; werde ich nicht helfen.,Ukinisubirisha; sitasaidia.
3,C5.2-5b,Sprich nicht mit ihm; der müde ist!,Usiongee na anayechoka!
4,C5.2-5b,Wenn wir zehn Eier essen; werden wir satt.,Tukila mayai kumi; tutashiba.
5,C5.2-5b,Gib mir vier Tische!,Nipe meza nne!
1,C5.2-6a,Wir sollen essen; damit wir stark sind (werden).,Tule; tuwe na nguvu.
2,C5.2-6a,Die Person; die ging; wenn sie wiederkommt; wird sie arbeiten.,Mtu aliyeenda; akirudi; atafanya kazi.
3,C5.2-6a,Wenn wir das jetzt machen; werden wir morgen frei sein.,Tukifanya sasa; tutakuwa huru kesho.
4,C5.2-6a,Seht die vielen Autos!,Oneni magari mengi!
5,C5.2-6a,Wenn die Arbeit gemacht wird; ist sie fertig.,Ikifanywa; imeisha.
6,C5.2-6a,Wenn du noch nicht gegessen hast; komm!,Usipokula; njoo!
1,C5.2-6b,Lass mich dieses große Auto sehen!,Nionyeshe gari hili kubwa!
2,C5.2-6b,Wenn das Brot; das wir kaufen werden; gut ist; essen wir.,Mkate tutakaonunua ukiwa mzuri; tutakula.
3,C5.2-6b,Lass uns nicht gehen; es sei denn; er ruft uns an.,Tusiende; isipokuwa atuite.
4,C5.2-6b,Gib uns das Wasser!,Tupe maji!
