Nr.,Kapitel,Deutsch,Suaheli
1,C3.1-Vok-1a,Gestern,Jana
2,C3.1-Vok-1a,Heute,Leo
3,C3.1-Vok-1a,Morgen,Kesho
4,C3.1-Vok-1a,Nacht,Usiku
5,C3.1-Vok-1a,Nachmittag / Tagsüber,Mchana
6,C3.1-Vok-1a,Wieder / Nochmals,Tena
7,C3.1-Vok-1a,Dann / Danach,Halafu
1,C3.1-Vok-1b,Bleiben / Sitzen,Kukaa
2,C3.1-Vok-1b,Zurückkommen,Kurudi
3,C3.1-Vok-1b,Versprechen,Kuahidi
4,C3.1-Vok-1b,Müssen (gezwungen sein),Kulazimika
5,C3.1-Vok-1b,Übrig bleiben / Verweilen,Kubaki
1,C3.1-2a,Ich habe nachts gearbeitet.,Nilifanya kazi usiku.
2,C3.1-2a,Du hast Wasser getrunken.,Ulikunywa maji.
3,C3.1-2a,Er kaufte Brot.,Alinunua mkate.
4,C3.1-2a,Wir gingen zur Schule.,Tulikwenda shuleni.
5,C3.1-2a,Ihr habt geholfen.,Mlisaidia.
6,C3.1-2a,Sie fragten den Lehrer.,Waliuliza mwalimu.
1,C3.1-2b,Das Auto fuhr.,Gari lilikwenda.
2,C3.1-2b,Die Augen sahen.,Macho yaliona.
3,C3.1-2b,Hast du das gesehen?,Uliona hilo?
4,C3.1-2b,Habt ihr geredet?,Mliongea?
1,C3.1-3a,Er kaufte es für seinen Bruder.,Alimnunulia kaka yake.
2,C3.1-3a,Sie gaben uns Geld.,Walitupa pesa.
3,C3.1-3a,Sie aßen in ihrem Haus.,Walikula katika nyumba yao.
4,C3.1-3a,Wir nahmen die großen Eier.,Tulichukua mayai makubwa.
1,C3.1-3b,Er wollte Brot; er hat es gekauft.,Alitaka mkate; alinunua.
2,C3.1-3b,Er musste gestern arbeiten.,Alilazimika kufanya kazi jana.
3,C3.1-3b,Wir wollten gehen; aber wir blieben.,Tulitaka kwenda; lakini tulibaki.
4,C3.1-3b,Sie aßen; dann gingen sie.,Walikula; halafu walienda.
1,C3.1-4a,Ich werde morgen gehen.,Nitakwenda kesho.
2,C3.1-4a,Du wirst arbeiten.,Utafanya kazi.
3,C3.1-4a,Er wird trinken.,Atakunywa.
4,C3.1-4a,Wir werden fragen.,Tutauliza.
5,C3.1-4a,Ihr werdet helfen.,Mtasaidia.
6,C3.1-4a,Sie werden warten.,Watasubiri.
1,C3.1-4b,Das Essen wird gut sein.,Chakula kitakuwa kizuri.
2,C3.1-4b,Die Augen werden sehen.,Macho yataona.
3,C3.1-4b,Wirst du das kaufen?,Utanunua hilo?
4,C3.1-4b,Werdet ihr hier bleiben?,Mtakaa hapa?
1,C3.1-5a,Er wird morgen Brot kaufen.,Atanunua mkate kesho.
2,C3.1-5a,Wir werden es für sie tun.,Tutawafanyia.
3,C3.1-5a,Ich werde das kalte Wasser trinken.,Nitakunywa maji baridi.
4,C3.1-5a,Sie werden in ihr großes Haus gehen.,Watakwenda nyumba yao kubwa.
1,C3.1-5b,Ja; ich werde es für viel Geld verkaufen.,Ndiyo; nitauza kwa pesa nyingi.
2,C3.1-5b,Die Kinder werden spielen.,Watoto watacheza.
3,C3.1-5b,Ihr wartet hier; wir kommen zurück.,Mnasubiri hapa; tutarudi.
4,C3.1-5b,Ich werde dich morgen sehen.,Nitakuona kesho.
1,C3.1-6a,Er arbeitet am Nachmittag; er arbeitete gestern.,Anafanya kazi mchana; alifanya kazi jana.
2,C3.1-6a,Ich kaufe heute; ich werde morgen kaufen.,Ninanunua leo; nitanunua kesho.
3,C3.1-6a,Was werdet ihr machen? Wir werden warten.,Mtafanya nini? Tutasubiri.
4,C3.1-6a,Was habt ihr gekauft? Wir kauften Eier.,Mlinunua nini? Tulinunua mayai.
5,C3.1-6a,Ich war neu; jetzt bin ich alt.,Nilikuwa mgeni; sasa mimi ni mzee.
1,C3.1-6b,Die Nacht wird lang sein.,Usiku utakuwa mrefu.
2,C3.1-6b,Wir waren hier; wir werden dort sein.,Tulikuwa hapa; tutakuwa pale.
3,C3.1-6b,Das Auto war im Haus.,Gari lilikuwa ndani ya nyumba.
4,C3.1-6b,Die Stühle werden im Laden sein.,Viti vitakuwa dukani.
5,C3.1-6b,Das Wasser war kalt; jetzt ist es warm.,Maji yalikuwa baridi; sasa ni moto.
1,C3.1-6c,Wir haben heute geredet; wir werden morgen wieder reden.,Tumeongea leo; tutaongea tena kesho.
2,C3.1-6c,War alles gut? Alles wird gut sein.,Yote yalikuwa mazuri? Yote yatakuwa mazuri.
1,C3.1-7a,Er aß nicht.,Hakula.
2,C3.1-7a,Wir warteten nicht.,Hatukusubiri.
3,C3.1-7a,Ich verstand es gestern nicht.,Sikufahamu jana.
4,C3.1-7a,Er ging gestern nicht.,Hakuenda jana.
5,C3.1-7a,Ihr habt nicht gefragt.,Hamkuuliza.
1,C3.1-7b,Ich werde nicht kommen.,Sitakuja.
2,C3.1-7b,Wir werden nicht gehen.,Hatutakwenda.
3,C3.1-7b,Wir arbeiteten nicht; wir werden reden.,Hatukufanya kazi; tutaongea.
4,C3.1-7b,Ich werde nicht kaufen.,Sitanunua.
5,C3.1-7b,Sie werden nicht helfen.,Hawatasaidia.
1,C3.1-8a,Wir wissen; was sie getan haben.,Tunajua; walifanya nini.
2,C3.1-8a,Sie sagten; dass wir gehen werden.,Walisema kwamba tutakwenda.
3,C3.1-8a,Wenn du morgen gehst; werde ich warten.,Ukienda kesho; nitasubiri.
4,C3.1-8a,Ich sah; dass das Zimmer groß war.,Niliona kwamba chumba kilikuwa kikubwa.
5,C3.1-8a,Sie versprachen; uns zu helfen.,Walituahidi kutusaidia.
1,C3.1-8b,Er sagte; er wird essen.,Alisema kwamba atakula.
2,C3.1-8b,Wir sahen die vielen Menschen.,Tuliona watu wengi.
3,C3.1-8b,Wir wollten gestern kaufen.,Tulitaka kununua jana.
4,C3.1-8b,Er wird das Geld brauchen.,Atahitaji pesa.
5,C3.1-8b,Du liebtest das kleine Zimmer.,Ulikipenda chumba kidogo.
6,C3.1-8b,Sie brauchten fünf Tische.,Walihitaji meza tano.
